
# number of atoms and geometry (in a.u.)
    3
    O       0.000000000000       0.000000000000      -0.736439502472
    H      -1.445931510274       0.000000000000       0.368218806373
    H       1.445931510274       0.000000000000       0.368218806373

# number of quasi-relativistic states and their energies (in a.u.)
   12
    1     -75.721977214741
    2     -75.721977214741
    3     -75.636882249981
    4     -75.636882249981
    5     -75.457675023492
    6     -75.457675023492
    7     -75.190315358669
    8     -75.190315358668
    9     -75.181295094134
   10     -75.181295094134
   11     -75.125026321385
   12     -75.125026321385

# magnetic moment matrix elements '1/2 * (g_e * S + L)' (in a.u.; x,y,z order; (real,imag) format)
    2    3     (  1.286038647807e-10 ,  1.669557405117e+00 ) (  1.046535895747e+02 , -2.504134839249e-12 ) (  4.552073675932e-09 ,  1.125939985182e-07 )
    2    4     (  2.793162140078e-11 ,  1.943034543254e-09 ) ( -1.049329978175e-07 ,  4.740782860958e-09 ) (  1.214708536321e-10 , -1.004439203823e+02 )
    2    5     ( -2.154060509095e-10 ,  9.375116780741e+01 ) ( -9.958731829057e+01 , -2.148465757237e-10 ) (  8.659989685047e-10 ,  1.600400667285e-09 )
    2    6     ( -6.121847931121e-09 , -1.026772474480e-07 ) ( -1.024600390012e-07 ,  5.343208585788e-09 ) (  5.082878101516e-12 ,  1.370933634982e+00 )
    2    7     (  5.512094687562e-11 , -2.459805975895e+00 ) (  4.645466327468e+01 ,  1.360288822630e-10 ) ( -1.365536178684e-01 ,  6.037870400990e-01 )
    2    8     ( -7.621563753365e-03 , -3.369959105015e-02 ) (  6.364335292941e-01 , -1.439370320775e-01 ) (  2.222203018904e-10 , -4.407171828381e+01 )
    2    9     (  4.460915878600e+00 ,  1.536303082502e+00 ) (  4.167777883741e+00 , -1.210184816783e+01 ) (  3.531458252906e+01 ,  5.601995344729e-09 )
    2   10     ( -9.506264403410e+00 ,  2.242454897650e-09 ) ( -4.908426285110e-09 ,  2.578918116465e+01 ) (  1.657174420230e+01 , -5.707173676440e+00 )
    2   11     (  1.038876361800e+01 ,  4.298610176839e-12 ) ( -2.326524432694e-12 , -2.769255632848e+01 ) (  2.965223588125e-02 , -4.937241635251e-05 )
    2   12     (  8.087260367040e-03 ,  1.346450086188e-05 ) (  3.589432231548e-05 , -2.155754427737e-02 ) ( -3.809079066920e+01 ,  1.489293812146e-11 )
    3    1     (  2.795550096338e-11 ,  1.941605563696e-09 ) ( -1.049377946780e-07 ,  4.740734564678e-09 ) (  1.199442899449e-10 , -1.004439203823e+02 )
    3    2     (  1.286038647807e-10 , -1.669557405117e+00 ) (  1.046535895747e+02 ,  2.504134839249e-12 ) (  4.552073675932e-09 , -1.125939984964e-07 )
    3    3     ( -6.485233908546e-09 ,  3.069615554396e-26 ) ( -1.913767584094e-09 ,  1.066655367488e-16 ) ( -1.267166561184e+02 , -3.231174267785e-27 )
    3    4     (  5.445940053069e+01 , -1.444557557714e-11 ) (  1.618956693527e-11 , -7.226665736820e+01 ) ( -1.508579150848e-08 ,  1.917074121196e-09 )
    3    5     (  7.760343360626e-09 , -1.776000161191e-12 ) (  8.736801193943e-10 ,  2.060792029942e-10 ) (  8.351071933892e+01 ,  9.409237366483e-11 )
    3    6     (  8.444927738390e+01 , -4.832162613215e-12 ) ( -9.672371899328e-11 , -5.224064653491e+00 ) ( -7.605229204802e-09 ,  8.712778586492e-10 )
    3    7     ( -3.963867122488e-03 , -8.964755835227e-04 ) (  2.302194814697e-02 , -1.017941005064e-01 ) (  7.317170006929e+00 , -1.191662449881e-12 )
    3    8     (  2.893311803653e-01 ,  1.442498011868e-11 ) ( -1.757608507338e-11 ,  7.430171519329e+00 ) (  1.002459683978e-01 , -2.267181962715e-02 )
    3    9     (  1.171217373359e-10 , -3.275661979061e-01 ) (  1.620545535743e+01 ,  8.140094793924e-11 ) ( -2.673956752528e+00 ,  7.764285775323e+00 )
    3   10     ( -5.293782472152e-02 , -1.537139288119e-01 ) (  7.604582651553e+00 , -2.618956297538e+00 ) ( -2.819844222423e-10 , -1.654578460220e+01 )
    3   11     ( -6.240818090692e-07 , -3.748312285917e-04 ) ( -2.721252638331e-02 ,  4.530807135372e-05 ) (  4.054831386619e-11 , -3.464061769047e+01 )
    3   12     (  4.202516767133e-11 ,  4.815054984871e-01 ) (  3.495682935791e+01 ,  9.903579481843e-12 ) (  4.489821067557e-05 , -2.696636989684e-02 )
    4    1     ( -1.237854201056e-10 , -1.669557405111e+00 ) ( -1.046535895747e+02 ,  3.399864656676e-12 ) ( -4.552219378412e-09 , -1.126001561716e-07 )
    4    2     (  2.793162140078e-11 , -1.943034048812e-09 ) ( -1.049329974112e-07 , -4.740782860958e-09 ) (  1.214708536321e-10 ,  1.004439203823e+02 )
    4    3     (  5.445940053069e+01 ,  1.444557557714e-11 ) (  1.618956693527e-11 ,  7.226665736820e+01 ) ( -1.508579150848e-08 , -1.917074121196e-09 )
    4    4     (  6.484989674334e-09 ,  3.069615554396e-26 ) (  1.913775740692e-09 ,  1.066655361064e-16 ) (  1.267166561185e+02 , -3.231174267785e-27 )
    4    5     ( -8.444927738391e+01 , -3.145094050529e-12 ) (  9.277930986465e-11 , -5.224064653503e+00 ) (  7.601641078186e-09 ,  8.712318990294e-10 )
    4    6     (  7.761956317765e-09 ,  1.777937434770e-12 ) (  8.737272642007e-10 , -2.043463763055e-10 ) (  8.351071933891e+01 , -9.594763203129e-11 )
    4    7     (  2.893311803739e-01 , -1.049447400997e-11 ) ( -6.932139681679e-12 , -7.430171519301e+00 ) (  1.002459684279e-01 ,  2.267181962826e-02 )
    4    8     (  3.963867123900e-03 , -8.964755847080e-04 ) ( -2.302194814689e-02 , -1.017941004789e-01 ) ( -7.317170006971e+00 , -7.500205930507e-12 )
    4    9     ( -5.293782471723e-02 ,  1.537139288067e-01 ) (  7.604582651546e+00 ,  2.618956297551e+00 ) ( -3.049916835514e-10 ,  1.654578460219e+01 )
    4   10     ( -1.270526567238e-10 , -3.275661979106e-01 ) ( -1.620545535744e+01 ,  6.468273593303e-11 ) (  2.673956752513e+00 ,  7.764285775325e+00 )
    4   11     ( -4.186405315846e-11 ,  4.815054984879e-01 ) ( -3.495682935791e+01 , -4.266706905435e-12 ) ( -4.489821018193e-05 , -2.696636989271e-02 )
    4   12     ( -6.240817795453e-07 ,  3.748312293275e-04 ) ( -2.721252638663e-02 , -4.530807183864e-05 ) (  2.633818911478e-11 ,  3.464061769048e+01 )
    5    1     (  6.121807182164e-09 ,  1.026798012833e-07 ) (  1.024639722007e-07 , -5.342556164907e-09 ) (  5.438055571550e-13 , -1.370933634976e+00 )
    5    2     ( -2.154060509095e-10 , -9.375116780741e+01 ) ( -9.958731829057e+01 ,  2.148465757237e-10 ) (  8.659989685047e-10 , -1.600401289548e-09 )
    5    3     (  7.760346841094e-09 ,  1.776000161191e-12 ) (  8.736801193943e-10 , -2.060707149199e-10 ) (  8.351071933892e+01 , -9.409237366483e-11 )
    5    4     ( -8.444927738391e+01 ,  3.145094050529e-12 ) (  9.277930986465e-11 ,  5.224064653503e+00 ) (  7.601638065911e-09 , -8.712318990294e-10 )
    5    5     ( -6.161254501436e-09 ,  1.033975765691e-25 ) ( -9.252248958732e-10 , -1.143993606536e-16 ) ( -4.825681968316e+01 ,  0.000000000000e+00 )
    5    6     ( -9.463088091194e+01 ,  1.725821049896e-10 ) (  1.735059716314e-10 ,  4.648317254738e+01 ) (  3.033706092118e-09 , -9.375123175180e-10 )
    5    7     (  4.021642282901e-02 ,  9.095422863575e-03 ) (  8.301055186724e-03 , -3.670403725741e-02 ) (  6.623813347405e-01 , -1.030582808601e-11 )
    5    8     ( -2.935483637661e+00 , -5.554586053409e-12 ) (  7.906492433135e-12 ,  2.679107051472e+00 ) (  9.074691466489e-03 , -2.052349519067e-03 )
    5    9     (  8.149394593776e-12 ,  9.775135191590e+00 ) (  9.323781082107e+00 , -6.932328148090e-11 ) (  1.173056378781e-01 , -3.406167641320e-01 )
    5   10     (  1.579755168935e+00 ,  4.587086375901e+00 ) (  4.375283650457e+00 , -1.506812036045e+00 ) ( -2.684311596246e-11 ,  7.258583428091e-01 )
    5   11     ( -5.992824311910e-06 , -3.599356200552e-03 ) ( -3.511612111535e-03 ,  5.846745407822e-06 ) ( -5.662087364518e-12 ,  4.328394690215e-01 )
    5   12     (  4.774997326491e-12 ,  4.623682263721e+00 ) (  4.510967666626e+00 , -1.087031341445e-11 ) ( -5.611122316965e-07 ,  3.369487782221e-04 )
    6    1     ( -2.162804848728e-10 ,  9.375116780741e+01 ) ( -9.958731829057e+01 , -2.121659130965e-10 ) (  8.653675712693e-10 ,  1.595155707487e-09 )
    6    2     ( -6.121847931121e-09 ,  1.026772473199e-07 ) ( -1.024600397820e-07 , -5.343208585788e-09 ) (  5.082878101516e-12 , -1.370933634982e+00 )
    6    3     (  8.444927738390e+01 ,  4.832162613215e-12 ) ( -9.672371899328e-11 ,  5.224064653491e+00 ) ( -7.605226192527e-09 , -8.712778586492e-10 )
    6    4     (  7.761959798234e-09 , -1.777937434770e-12 ) (  8.737272642007e-10 ,  2.043378882313e-10 ) (  8.351071933891e+01 ,  9.594763203129e-11 )
    6    5     ( -9.463088091194e+01 , -1.725821049896e-10 ) (  1.735059716314e-10 , -4.648317254738e+01 ) (  3.033706092118e-09 ,  9.375123175180e-10 )
    6    6     (  6.161986474443e-09 ,  2.067951531383e-25 ) (  9.252759144005e-10 , -1.143993606439e-16 ) (  4.825681968315e+01 ,  5.048709793414e-28 )
    6    7     (  2.935483637655e+00 ,  9.979258443819e-13 ) ( -2.107675424213e-11 ,  2.679107051470e+00 ) ( -9.074691457319e-03 , -2.052349518031e-03 )
    6    8     (  4.021642281103e-02 , -9.095422869267e-03 ) (  8.301055191114e-03 ,  3.670403724923e-02 ) (  6.623813347459e-01 ,  1.800257211471e-11 )
    6    9     ( -1.579755168938e+00 ,  4.587086375906e+00 ) ( -4.375283650462e+00 , -1.506812036043e+00 ) (  1.005001473907e-11 ,  7.258583428084e-01 )
    6   10     (  9.107480530963e-12 , -9.775135191604e+00 ) (  9.323781082127e+00 ,  5.978648990580e-11 ) (  1.173056378709e-01 ,  3.406167641325e-01 )
    6   11     (  1.242888072292e-11 , -4.623682263721e+00 ) (  4.510967666640e+00 ,  3.051189492526e-11 ) ( -5.611121954790e-07 , -3.369487851683e-04 )
    6   12     (  5.992824666764e-06 , -3.599356197123e-03 ) (  3.511612123102e-03 ,  5.846745776442e-06 ) (  1.764248640986e-11 ,  4.328394690080e-01 )
    7    1     ( -7.621563748353e-03 , -3.369959106666e-02 ) (  6.364335292422e-01 , -1.439370320772e-01 ) (  2.217416577814e-10 , -4.407171828384e+01 )
    7    2     (  5.512094771428e-11 ,  2.459805975895e+00 ) (  4.645466327468e+01 , -1.360288797206e-10 ) ( -1.365536178684e-01 , -6.037870400990e-01 )
    7    3     ( -3.963867122488e-03 ,  8.964755835227e-04 ) (  2.302194814697e-02 ,  1.017941005064e-01 ) (  7.317170006929e+00 ,  1.191661913377e-12 )
    7    4     (  2.893311803739e-01 ,  1.049447526959e-11 ) ( -6.932139586114e-12 ,  7.430171519301e+00 ) (  1.002459684279e-01 , -2.267181962826e-02 )
    7    5     (  4.021642282902e-02 , -9.095422863575e-03 ) (  8.301055186724e-03 ,  3.670403725741e-02 ) (  6.623813347405e-01 ,  1.030582678397e-11 )
    7    6     (  2.935483637655e+00 , -9.979236197276e-13 ) ( -2.107675394157e-11 , -2.679107051470e+00 ) ( -9.074691457318e-03 ,  2.052349518031e-03 )
    7    7     ( -6.128718177623e-01 , -6.938893903907e-18 ) ( -3.158714972192e-01 ,  5.953146257596e-18 ) ( -6.431202038170e+01 , -2.168404344971e-19 )
    7    8     (  2.236343618751e+01 ,  1.898947161142e-03 ) ( -4.327471371692e-03 , -5.098172758863e+01 ) ( -1.762510085606e+00 ,  3.986126473836e-01 )
    7    9     (  9.418133116854e-03 , -1.247666626797e+01 ) ( -8.057743284185e+01 ,  6.167352898984e-02 ) (  1.002159039083e+01 , -2.771839642840e+01 )
    7   10     ( -1.964079770629e+00 , -5.644760787710e+00 ) ( -3.918729262331e+01 ,  1.336435723440e+01 ) (  2.231806182238e-01 ,  6.120529014568e+01 )
    7   11     (  9.470835012999e-03 ,  4.423732401705e-02 ) ( -4.923189474226e-01 ,  1.180022885221e-01 ) ( -8.494722982949e-05 ,  3.496059401113e+01 )
    7   12     (  7.315324149920e-06 , -3.055334565575e+00 ) ( -3.810075144995e+01 ,  9.122199087462e-05 ) (  1.082791793522e-01 ,  5.061845247826e-01 )
    8    1     ( -4.975718331936e-11 ,  2.459805975902e+00 ) ( -4.645466327465e+01 , -1.300945319472e-10 ) (  1.365536178659e-01 , -6.037870401675e-01 )
    8    2     ( -7.621563753365e-03 ,  3.369959105015e-02 ) (  6.364335292941e-01 ,  1.439370320775e-01 ) (  2.222203016924e-10 ,  4.407171828381e+01 )
    8    3     (  2.893311803653e-01 , -1.442498137831e-11 ) ( -1.757608497782e-11 , -7.430171519329e+00 ) (  1.002459683978e-01 ,  2.267181962715e-02 )
    8    4     (  3.963867123901e-03 ,  8.964755847080e-04 ) ( -2.302194814689e-02 ,  1.017941004789e-01 ) ( -7.317170006971e+00 ,  7.500205394003e-12 )
    8    5     ( -2.935483637661e+00 ,  5.554588278064e-12 ) (  7.906492132575e-12 , -2.679107051472e+00 ) (  9.074691466489e-03 ,  2.052349519067e-03 )
    8    6     (  4.021642281103e-02 ,  9.095422869267e-03 ) (  8.301055191114e-03 , -3.670403724923e-02 ) (  6.623813347459e-01 , -1.800257081267e-11 )
    8    7     (  2.236343618751e+01 , -1.898947161142e-03 ) ( -4.327471371692e-03 ,  5.098172758863e+01 ) ( -1.762510085606e+00 , -3.986126473836e-01 )
    8    8     (  6.128718177164e-01 , -6.938893903907e-18 ) (  3.158714972509e-01 , -1.608823200476e-18 ) (  6.431202038196e+01 ,  0.000000000000e+00 )
    8    9     ( -1.964079770634e+00 ,  5.644760787857e+00 ) ( -3.918729262332e+01 , -1.336435723442e+01 ) (  2.231806182523e-01 , -6.120529014556e+01 )
    8   10     ( -9.418133105952e-03 , -1.247666626806e+01 ) (  8.057743284193e+01 ,  6.167352899531e-02 ) ( -1.002159039079e+01 , -2.771839642827e+01 )
    8   11     ( -7.315318213395e-06 , -3.055334565596e+00 ) (  3.810075145014e+01 ,  9.122202746142e-05 ) ( -1.082791793729e-01 ,  5.061845245909e-01 )
    8   12     (  9.470835015355e-03 , -4.423732399666e-02 ) ( -4.923189472095e-01 , -1.180022885398e-01 ) ( -8.494719992069e-05 , -3.496059401130e+01 )
    9    1     ( -9.506264403396e+00 ,  2.227626507057e-09 ) ( -4.912855453483e-09 ,  2.578918116477e+01 ) (  1.657174420235e+01 , -5.707173676424e+00 )
    9    2     (  4.460915878601e+00 , -1.536303082502e+00 ) (  4.167777883741e+00 ,  1.210184816783e+01 ) (  3.531458252906e+01 , -5.601995381081e-09 )
    9    3     (  1.171217570534e-10 ,  3.275661979061e-01 ) (  1.620545535743e+01 , -8.140094735354e-11 ) ( -2.673956752528e+00 , -7.764285775323e+00 )
    9    4     ( -5.293782471723e-02 , -1.537139288067e-01 ) (  7.604582651546e+00 , -2.618956297551e+00 ) ( -3.049916918230e-10 , -1.654578460219e+01 )
    9    5     (  8.149418904921e-12 , -9.775135191590e+00 ) (  9.323781082107e+00 ,  6.932327925931e-11 ) (  1.173056378781e-01 ,  3.406167641320e-01 )
    9    6     ( -1.579755168938e+00 , -4.587086375906e+00 ) ( -4.375283650462e+00 ,  1.506812036043e+00 ) (  1.005002267716e-11 , -7.258583428084e-01 )
    9    7     (  9.418133116854e-03 ,  1.247666626797e+01 ) ( -8.057743284185e+01 , -6.167352898984e-02 ) (  1.002159039083e+01 ,  2.771839642840e+01 )
    9    8     ( -1.964079770634e+00 , -5.644760787857e+00 ) ( -3.918729262332e+01 ,  1.336435723442e+01 ) (  2.231806182523e-01 ,  6.120529014556e+01 )
    9    9     ( -5.643948566163e+01 ,  1.776356839400e-15 ) ( -3.002094856608e+00 ,  1.781920351820e-15 ) ( -5.100565257598e+01 ,  8.881784197001e-16 )
    9   10     (  4.846481637797e+01 ,  9.121159704042e+00 ) ( -1.408765010238e+00 , -1.109082127220e+01 ) ( -6.351514725453e+01 ,  2.187409914872e+01 )
    9   11     (  1.095092060307e+01 , -1.383854242671e-03 ) ( -1.410890068958e-02 ,  1.115671156706e+02 ) (  4.716647049811e+01 , -1.627060928588e+01 )
    9   12     ( -5.128439001455e+00 ,  1.769141611829e+00 ) (  1.803675147435e+01 ,  5.246006153102e+01 ) (  1.007161223982e+02 , -1.260490147009e-02 )
   10    1     ( -4.460915878600e+00 , -1.536303082507e+00 ) ( -4.167777883746e+00 ,  1.210184816778e+01 ) ( -3.531458252894e+01 , -5.619815069390e-09 )
   10    2     ( -9.506264403410e+00 , -2.242454931628e-09 ) ( -4.908426255493e-09 , -2.578918116465e+01 ) (  1.657174420230e+01 ,  5.707173676440e+00 )
   10    3     ( -5.293782472152e-02 ,  1.537139288119e-01 ) (  7.604582651553e+00 ,  2.618956297538e+00 ) ( -2.819844305139e-10 ,  1.654578460220e+01 )
   10    4     ( -1.270526764413e-10 ,  3.275661979106e-01 ) ( -1.620545535744e+01 , -6.468273534734e-11 ) (  2.673956752513e+00 , -7.764285775325e+00 )
   10    5     (  1.579755168935e+00 , -4.587086375901e+00 ) (  4.375283650457e+00 ,  1.506812036045e+00 ) ( -2.684312390055e-11 , -7.258583428091e-01 )
   10    6     (  9.107504842107e-12 ,  9.775135191604e+00 ) (  9.323781082127e+00 , -5.978648768421e-11 ) (  1.173056378709e-01 , -3.406167641325e-01 )
   10    7     ( -1.964079770629e+00 ,  5.644760787710e+00 ) ( -3.918729262331e+01 , -1.336435723440e+01 ) (  2.231806182238e-01 , -6.120529014568e+01 )
   10    8     ( -9.418133105952e-03 ,  1.247666626806e+01 ) (  8.057743284193e+01 , -6.167352899531e-02 ) ( -1.002159039079e+01 ,  2.771839642827e+01 )
   10    9     (  4.846481637797e+01 , -9.121159704042e+00 ) ( -1.408765010238e+00 ,  1.109082127220e+01 ) ( -6.351514725453e+01 , -2.187409914872e+01 )
   10   10     (  5.643948566161e+01 ,  1.776356839400e-15 ) (  3.002094856583e+00 ,  1.672914774731e-15 ) (  5.100565257570e+01 ,  4.440892098501e-16 )
   10   11     (  5.128439001448e+00 ,  1.769141611838e+00 ) ( -1.803675147433e+01 ,  5.246006153103e+01 ) ( -1.007161223982e+02 , -1.260490143599e-02 )
   10   12     (  1.095092060308e+01 ,  1.383854274439e-03 ) ( -1.410890069267e-02 , -1.115671156706e+02 ) (  4.716647049812e+01 ,  1.627060928585e+01 )
   11    1     ( -8.087260368171e-03 , -1.346450120020e-05 ) ( -3.589432257981e-05 ,  2.155754428472e-02 ) (  3.809079066920e+01 ,  8.668467667861e-13 )
   11    2     (  1.038876361800e+01 , -4.298610176345e-12 ) ( -2.326524432642e-12 ,  2.769255632848e+01 ) (  2.965223588125e-02 ,  4.937241635251e-05 )
   11    3     ( -6.240818090692e-07 ,  3.748312285910e-04 ) ( -2.721252638331e-02 , -4.530807135372e-05 ) (  4.054831386617e-11 ,  3.464061769047e+01 )
   11    4     ( -4.186405315755e-11 , -4.815054984879e-01 ) ( -3.495682935791e+01 ,  4.266706906902e-12 ) ( -4.489821018193e-05 ,  2.696636989271e-02 )
   11    5     ( -5.992824311910e-06 ,  3.599356200553e-03 ) ( -3.511612111535e-03 , -5.846745407822e-06 ) ( -5.662087364523e-12 , -4.328394690215e-01 )
   11    6     (  1.242888072295e-11 ,  4.623682263721e+00 ) (  4.510967666640e+00 , -3.051189492521e-11 ) ( -5.611121954790e-07 ,  3.369487851683e-04 )
   11    7     (  9.470835012999e-03 , -4.423732401705e-02 ) ( -4.923189474226e-01 , -1.180022885221e-01 ) ( -8.494722982949e-05 , -3.496059401113e+01 )
   11    8     ( -7.315318213395e-06 ,  3.055334565596e+00 ) (  3.810075145014e+01 , -9.122202746142e-05 ) ( -1.082791793729e-01 , -5.061845245909e-01 )
   11    9     (  1.095092060307e+01 ,  1.383854242671e-03 ) ( -1.410890068958e-02 , -1.115671156706e+02 ) (  4.716647049811e+01 ,  1.627060928588e+01 )
   11   10     (  5.128439001448e+00 , -1.769141611838e+00 ) ( -1.803675147433e+01 , -5.246006153103e+01 ) ( -1.007161223982e+02 ,  1.260490143599e-02 )
   11   11     ( -3.356817118688e-02 ,  3.388131789017e-21 ) (  4.640481897710e-05 , -3.133357472216e-18 ) (  3.658733047312e+00 ,  0.000000000000e+00 )
   11   12     (  2.156058551220e+01 , -4.354562213047e-08 ) (  3.615843791688e-08 , -1.790146426637e+01 ) (  5.696368721387e-03 ,  9.484668056560e-06 )
   12    1     (  1.038876361800e+01 ,  1.134695342522e-11 ) (  6.367057573318e-12 , -2.769255632846e+01 ) (  2.965223587295e-02 , -4.937241548003e-05 )
   12    2     (  8.087260367040e-03 , -1.346450086188e-05 ) (  3.589432231548e-05 ,  2.155754427737e-02 ) ( -3.809079066920e+01 , -1.489293812189e-11 )
   12    3     (  4.202516767042e-11 , -4.815054984871e-01 ) (  3.495682935791e+01 , -9.903579480376e-12 ) (  4.489821067557e-05 ,  2.696636989684e-02 )
   12    4     ( -6.240817795453e-07 , -3.748312293268e-04 ) ( -2.721252638663e-02 ,  4.530807183864e-05 ) (  2.633818911477e-11 , -3.464061769048e+01 )
   12    5     (  4.774997326518e-12 , -4.623682263721e+00 ) (  4.510967666626e+00 ,  1.087031341440e-11 ) ( -5.611122316965e-07 , -3.369487782221e-04 )
   12    6     (  5.992824666764e-06 ,  3.599356197123e-03 ) (  3.511612123102e-03 , -5.846745776442e-06 ) (  1.764248640987e-11 , -4.328394690080e-01 )
   12    7     (  7.315324149920e-06 ,  3.055334565575e+00 ) ( -3.810075144995e+01 , -9.122199087462e-05 ) (  1.082791793522e-01 , -5.061845247826e-01 )
   12    8     (  9.470835015355e-03 ,  4.423732399666e-02 ) ( -4.923189472095e-01 ,  1.180022885398e-01 ) ( -8.494719992069e-05 ,  3.496059401130e+01 )
   12    9     ( -5.128439001455e+00 , -1.769141611829e+00 ) (  1.803675147435e+01 , -5.246006153102e+01 ) (  1.007161223982e+02 ,  1.260490147009e-02 )
   12   10     (  1.095092060308e+01 , -1.383854274439e-03 ) ( -1.410890069267e-02 ,  1.115671156706e+02 ) (  4.716647049812e+01 , -1.627060928585e+01 )
   12   11     (  2.156058551220e+01 ,  4.354562213047e-08 ) (  3.615843791688e-08 ,  1.790146426637e+01 ) (  5.696368721387e-03 , -9.484668056560e-06 )
   12   12     (  3.356817118747e-02 ,  0.000000000000e+00 ) ( -4.640482586134e-05 , -3.084641360501e-18 ) ( -3.658733047297e+00 ,  0.000000000000e+00 )
# LI contribution 'P * OPERATOR'
    1    1     (  5.362362153582e-08 , -2.357816158792e-26 ) (  7.519717001131e-11 ,  4.011421774924e-19 ) (  6.205659619251e+00 ,  2.092798568485e-28 )
    1    2     ( -2.528438048700e+01 ,  3.290687582179e-11 ) (  2.991302606223e-11 , -2.056644588838e-01 ) (  1.320443069852e-08 ,  7.374054453404e-10 )
    1    3     ( -2.177686347411e-08 ,  3.848822241575e-07 ) (  2.595899479053e-09 ,  1.046321920966e-10 ) ( -4.978650350345e-12 , -4.509923733682e+00 )
    1    4     (  7.743072380424e-13 , -3.433138950250e+02 ) (  2.565473174264e+00 ,  4.022027751026e-10 ) (  2.173046394881e-10 , -5.310310418338e-09 )
    1    5     (  2.964449246154e-10 , -4.761909479144e-09 ) ( -1.038773009554e-08 , -3.033648846758e-09 ) ( -3.130706980941e-14 , -3.042841582947e+02 )
    1    6     (  2.234134655436e-11 , -4.648937053080e+00 ) (  1.012353585783e+01 , -6.551980262721e-12 ) ( -1.637727339663e-08 ,  3.332574174400e-07 )
    1    7     ( -4.962772451637e-01 ,  2.194345073685e+00 ) ( -2.115779473781e-03 , -4.785092791469e-04 ) ( -2.359741691464e-11 ,  1.428693880938e-01 )
    1    8     (  3.889406968562e-10 , -1.601699794923e+02 ) (  1.544354995547e-01 ,  1.539928752151e-10 ) (  4.426723596017e-04 ,  1.957317966347e-03 )
    1    9     (  2.855639197939e+01 ,  5.851322922138e-09 ) ( -1.414110497423e-09 ,  2.444548188198e-02 ) ( -1.085156679979e-01 , -3.737191228091e-02 )
    1   10     (  1.340039126600e+01 , -4.614985568335e+00 ) (  3.950622589777e-03 ,  1.147129248106e-02 ) (  2.312481726556e-01 , -2.151778302851e-10 )
    1   11     ( -2.256824017752e-03 ,  3.758123513286e-06 ) ( -1.476103415769e-09 , -8.868104604838e-07 ) ( -5.658905922305e-01 , -7.709314439945e-11 )
    1   12     (  2.899080646716e+00 , -3.656369713170e-12 ) ( -2.087384782291e-12 ,  1.129964587369e-03 ) ( -4.405240760011e-04 , -7.334977349100e-07 )
    2    1     ( -2.528438048700e+01 , -3.290687582179e-11 ) (  2.991302606223e-11 ,  2.056644588838e-01 ) (  1.320443069852e-08 , -7.374054453404e-10 )
    2    2     ( -5.363516456197e-08 ,  7.948476670179e-26 ) ( -7.518414066818e-11 ,  4.011421835044e-19 ) ( -6.205659619240e+00 , -5.170937804438e-28 )
    2    3     ( -5.718829718767e-12 , -3.433138950250e+02 ) ( -2.565473174258e+00 ,  4.132713736625e-10 ) ( -2.173039228137e-10 , -5.310072838027e-09 )
    2    4     ( -2.177677798068e-08 , -3.848795182947e-07 ) (  2.599492778833e-09 , -1.045784684377e-10 ) ( -1.572627057726e-12 ,  4.509923733668e+00 )
    2    5     (  6.064685642746e-12 ,  4.648937053080e+00 ) (  1.012353585783e+01 ,  9.293299282809e-12 ) ( -1.637722983458e-08 , -3.332572830774e-07 )
    2    6     ( -2.943668846325e-10 , -4.761058016538e-09 ) (  1.039232102897e-08 , -3.033234767308e-09 ) (  4.874808184468e-13 , -3.042841582947e+02 )
    2    7     ( -3.906121307028e-10 , -1.601699794923e+02 ) ( -1.544354995556e-01 ,  1.540816795701e-10 ) ( -4.426723560486e-04 ,  1.957317959800e-03 )
    2    8     ( -4.962772451586e-01 , -2.194345073740e+00 ) ( -2.115779473855e-03 ,  4.785092792767e-04 ) ( -7.347357949032e-12 , -1.428693880606e-01 )
    2    9     ( -1.340039126617e+01 , -4.614985568316e+00 ) ( -3.950622590054e-03 ,  1.147129248158e-02 ) ( -2.312481726236e-01 , -1.823171489951e-10 )
    2   10     (  2.855639197905e+01 , -5.850246965414e-09 ) ( -1.413194127416e-09 , -2.444548188061e-02 ) ( -1.085156680064e-01 ,  3.737191229224e-02 )
    2   11     (  2.899080646718e+00 ,  1.501069499140e-13 ) ( -2.123431448345e-12 , -1.129964587352e-03 ) ( -4.405240796419e-04 ,  7.334977862618e-07 )
    2   12     (  2.256824039836e-03 ,  3.758138936286e-06 ) (  1.476101238444e-09 , -8.868104723770e-07 ) (  5.658905922287e-01 , -8.037689075617e-11 )
    3    1     ( -2.177686347411e-08 , -3.848822241782e-07 ) (  2.595899495137e-09 , -1.046321920966e-10 ) ( -4.978650350345e-12 ,  4.509923733682e+00 )
    3    2     ( -5.718829718767e-12 ,  3.433138950250e+02 ) ( -2.565473174258e+00 , -4.132713736625e-10 ) ( -2.173039228137e-10 ,  5.310073387238e-09 )
    3    3     ( -3.064924891952e-09 ,  6.076934542558e-29 ) (  7.774070415568e-11 , -6.022837913548e-19 ) (  3.382393405172e-01 , -1.026848024635e-29 )
    3    4     (  2.593322954165e+01 ,  3.996279293219e-11 ) ( -3.655521247851e-11 ,  7.671886995722e+00 ) (  5.577322200284e-11 , -7.750148514523e-11 )
    3    5     (  3.592588155236e-10 ,  7.584499558491e-12 ) (  2.732341288427e-09 ,  6.856638463556e-09 ) (  1.167598536424e+01 ,  1.382180999143e-11 )
