
# number of atoms and geometry (in a.u.)
    3
    O       0.000000000000       0.000000000000      -0.736439502472
    H      -1.445931510274       0.000000000000       0.368218806373
    H       1.445931510274       0.000000000000       0.368218806373

# number of quasi-relativistic states and their energies (in a.u.)
   12
    1     -75.721977214741
    2     -75.721977214741
    3     -75.636882249981
    4     -75.636882249981
    5     -75.457675023492
    6     -75.457675023492
    7     -75.190315358669
    8     -75.190315358668
    9     -75.181295094134
   10     -75.181295094134
   11     -75.125026321385
   12     -75.125026321385

# magnetic moment matrix elements '1/2 * (g_e * S + L)' (in a.u.; x,y,z order; (real,imag) format)
    6    4     (  8.307145082653e-13 , -6.330368527591e-15 ) ( -4.821693008389e-12 , -1.180183724149e-11 ) ( -3.211986905071e-02 , -3.184336558568e-14 )
    6    5     (  5.004141360607e-01 ,  1.222390573013e-14 ) ( -8.548806855315e-15 , -4.876275954693e-01 ) (  3.304036048071e-11 ,  9.607914170353e-12 )
    6    6     ( -3.371058503205e-11 , -1.615587133893e-27 ) (  9.628031304888e-12 , -8.695900570954e-28 ) (  4.902445920717e-01 ,  2.366582715663e-30 )
    6    7     ( -4.725161414235e-04 , -2.919923500093e-14 ) (  5.115080131590e-14 , -1.566947150843e-02 ) (  2.245375959776e-05 ,  5.078185655009e-06 )
    6    8     ( -6.473518830745e-06 ,  1.464063398764e-06 ) ( -4.855093345134e-05 , -2.146733425118e-04 ) ( -1.638948453698e-03 ,  7.410854280442e-14 )
    6    9     (  8.977308476646e-05 , -2.606713386987e-04 ) ( -2.466704797590e-03 , -8.495130318309e-04 ) ( -9.308121894347e-14 ,  1.121677991858e-02 )
    6   10     ( -9.143321622661e-15 ,  5.554936976635e-04 ) (  5.256577028056e-03 , -7.124204176679e-14 ) (  1.812738720060e-03 ,  5.263593529660e-03 )
    6   11     (  5.957497139578e-14 ,  5.305571082314e-04 ) (  1.551903126568e-03 ,  1.049046314596e-15 ) ( -5.915625038263e-08 , -3.552982313383e-05 )
    6   12     ( -6.876715439944e-10 ,  4.130207377178e-07 ) (  1.208095959110e-06 ,  2.012401231405e-09 ) ( -7.357943452810e-15 ,  4.564111010483e-02 )
    7    1     (  1.045144802438e-04 ,  4.621224064014e-04 ) (  3.933267683382e-05 , -8.895554339658e-06 ) ( -3.907239557633e-15 ,  2.948881605925e-03 )
    7    2     (  8.901429038803e-14 , -3.373131111537e-02 ) (  2.870977517297e-03 , -1.578132195782e-14 ) (  9.136935539855e-06 ,  4.039997669941e-05 )
    7    3     ( -1.380537077716e-04 ,  3.122248965308e-05 ) (  7.235628381455e-07 ,  3.199315901165e-06 ) ( -2.192249622539e-04 , -1.024968445468e-14 )
    7    4     (  1.007683859824e-02 ,  1.916477750487e-14 ) ( -1.153082528589e-14 ,  2.335248099622e-04 ) ( -3.003402727710e-06 ,  6.792556127871e-07 )
    7    5     ( -6.473518809484e-06 ,  1.464063399817e-06 ) ( -4.855093345175e-05 , -2.146733425025e-04 ) ( -1.638948453577e-03 ,  3.686333244657e-15 )
    7    6     ( -4.725161414235e-04 ,  2.919923500093e-14 ) (  5.115080131590e-14 ,  1.566947150843e-02 ) (  2.245375959776e-05 , -5.078185655009e-06 )
    7    7     ( -1.464861161953e-02 ,  2.168404344971e-19 ) ( -2.744457566369e-03 ,  5.288967230511e-19 ) (  4.428093047708e-01 ,  0.000000000000e+00 )
    7    8     (  5.345217076524e-01 ,  4.538785924380e-05 ) ( -3.759934613178e-05 , -4.429560402594e-01 ) (  1.213545868341e-02 , -2.744578517364e-03 )
